blackhawk,aa:00:00:b8:20:ae,129.130.10.11
centurion,aa:00:00:b5:29:f7,129.130.10.21
bengal,aa:00:00:13:ad:bc,129.130.10.22
hemicuda,aa:00:00:2e:f4:81;,129.130.10.23
monaco,00:1e:68:37:92:9c,129.130.10.29
perfsonar,00:02:c9:ea:4b:d0,129.130.10.34
quantum,aa:00:00:e8:23:bb,129.130.10.38
cougar,5c:f3:fc:4d:da:d8,129.130.10.39
viper,5c:f3:fc:4d:dc:f8,129.130.10.43
durango,00:1e:68:1d:f8:76,129.130.10.49
cherokee,00:23:8b:89:e1:54,129.130.10.50
desoto,00:0c:29:7c:b9:9e,129.130.10.58
ballot,aa:00:00:1c:a9:bd,129.130.10.57
stratus,00:0c:29:fa:5f:21,129.130.10.56
santos02,00:21:5e:6e:67:53,129.130.10.64
santos03,00:21:5e:6e:69:d8,129.130.10.65
santos04,00:21:5e:6e:6b:59,129.130.10.66
santos05,00:21:5e:6e:69:ce,129.130.10.67
santos06,00:21:5e:6e:67:1c,129.130.10.68
santos07,00:21:5e:6e:5f:3d,129.130.10.70
santos08,00:21:5e:6e:60:aa,129.130.10.75
santos09,00:21:5e:6e:68:98,129.130.10.76
santos00,00:21:5e:6e:68:b1,129.130.10.77
santos10,40:f2:e9:36:1d:a2,129.130.10.78
santos11,40:f2:e9:36:1d:9d,129.130.10.79
santos12,40:f2:e9:36:1e:65,129.130.10.80
santos13,40:f2:e9:36:1f:14,129.130.10.81
santos14,40:f2:e9:36:1e:6a,129.130.10.82
santos15,40:f2:e9:36:1e:83,129.130.10.83
santos16,40:f2:e9:36:1e:9c,129.130.10.84
santos17,40:f2:e9:36:1f:5f,129.130.10.85
santos18,40:f2:e9:36:1e:c9,129.130.10.86
santos19,40:f2:e9:35:e4:04,129.130.10.87
legion,40:f2:e9:63:2c:34,129.130.10.88
praetorian,40:f2:e9:63:33:9c,129.130.10.89
playground,5c:f3:fc:dd:91:7c,129.130.10.90
crossfire,aa:00:00:21:3a:cf,129.130.10.73
anaire,00:48:54:8d:d8:2b,129.130.10.96
osse,00:01:6c:e4:53:c6,129.130.10.97
fingolfin,00:02:e3:02:5d:dd,129.130.10.98
turgon,00:04:75:e6:47:aa,129.130.10.99
famine,00:1f:bc:00:f7:3d,129.130.10.100
donblas,00:01:6c:e4:58:b6,129.130.10.101
ilmare,00:30:65:4b:1a:c4,129.130.10.102
earrame,00:09:6b:5f:b2:7a,129.130.10.103
meril,00:23:ae:01:61:70,129.130.10.104
baniac-aleph,00:24:8c:98:d2:61,129.130.10.105
escape,4c:72:b9:26:f6:7e,129.130.10.112
arbor,e0:db:55:dd:bc:9d,129.130.10.113
sebring,38:60:77:13:ca:c2,129.130.10.114
fairlane,00:1a:64:b3:3e:70,129.130.10.115
windsor,00:27:0e:13:e2:79,129.130.10.116
hornet,00:1b:21:a4:2f:89,129.130.10.117
valiant,e0:69:95:c9:73:56,129.130.10.118
cybersec-lab,00:07:e9:1a:f3:84,129.130.10.119
trotsky,ec:1a:59:3d:81:97,129.130.10.120
sec,38:60:77:13:9f:e4,129.130.10.121
stealth,00:13:20:64:d0:52,129.130.10.122
escalade,00:23:ae:9e:59:46,129.130.10.123
denali,00:1c:c0:2c:81:75,129.130.10.124
vibe,38:60:77:13:ce:11,129.130.10.125
fiesta,a4:ba:db:ec:cf:56,129.130.10.126
ranger,00:23:ae:9e:5b:0f,129.130.10.127
n318bx02,00:23:df:df:2b:a2,129.130.10.128
n318bx01,00:23:df:df:16:ec,129.130.10.129
omega,e8:40:f2:ad:37:0c,129.130.10.130
silverado,00:01:80:49:54:d0,129.130.10.131
n324gx01,70:71:bc:1f:5b:6e,129.130.10.133
n318x01,f0:1f:af:ed:d0:ea,129.130.10.134
robby-mp,00:3e:e1:c0:b5:f4,129.130.10.135
dart,e0:69:95:e5:61:2a,129.130.10.136
robot-1x,ec:1a:59:3d:66:8a,129.130.10.137
cruze,00:1c:c0:7e:94:14,129.130.10.138
n227ex01,a4:ba:db:f5:00:c7,129.130.10.139
cobra,70:71:bc:0e:6a:5e,129.130.10.140
fit,e0:69:95:e5:65:14,129.130.10.141
neon,00:1c:c0:2c:81:fc,129.130.10.142
skoda,00:19:d1:5e:9a:21,129.130.10.143
jeep,e0:69:95:d1:c4:b5,129.130.10.144
